workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
agent_rag,baseline,8,8,17026.0,0.0,0.0,15026.0,0.0,0.833,0.0,0.0,0.1174674027957242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
agent_rag,berti,8,8,7978.0,0.0,0.0,5978.0,0.0,0.949,0.0,0.0,0.25068939583855604,0.0,0.0,0.7002967359050445,0.0,0.0,2.1341188267736273,0.0,0.0,2.1341188267736273,2.1341188267736273
agent_rag,nextline,8,8,7939.0,0.0,0.0,5939.0,0.0,0.9495,0.0,0.0,0.25192089683839275,0.0,0.0,0.7053571428571429,0.0,0.0,2.1446025947852374,0.0,0.0,2.1446025947852374,2.1446025947852374
agent_rag,nn,8,8,8738.5,65.92203186882429,45.681637448760526,6738.5,0.0,0.9392499999999999,0.0008451542547285032,0.0005856620185738437,0.22888373011517854,0.0017419295710169604,0.001207095607775157,0.7220268180225254,0.007468127503656538,0.005175148328589275,1.9484871944705153,0.01482904643806737,0.010276004908989902,1.9354325338183471,1.9793071378749127
agent_rag,stride,8,8,7939.0,0.0,0.0,5939.0,0.0,0.9495,0.0,0.0,0.25192089683839275,0.0,0.0,0.7053571428571429,0.0,0.0,2.1446025947852374,0.0,0.0,2.1446025947852374,2.1446025947852374
embedding_lookup,baseline,8,8,17143.0,0.0,0.0,15143.0,0.0,0.8315,0.0,0.0,0.11666569445254622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
embedding_lookup,berti,8,8,9031.0,0.0,0.0,7031.0,0.0,0.9355,0.0,0.0,0.22145941756173182,0.0,0.0,0.6129032258064516,0.0,0.0,1.8982393976303842,0.0,0.0,1.8982393976303842,1.8982393976303842
embedding_lookup,nextline,8,8,8524.0,0.0,0.0,6524.0,0.0,0.942,0.0,0.0,0.2346316283435007,0.0,0.0,0.6666666666666666,0.0,0.0,2.0111450023463164,0.0,0.0,2.0111450023463164,2.0111450023463164
embedding_lookup,nn,8,8,10556.875,229.724330137543,159.19083901091793,8556.875,0.0,0.9159375000000001,0.002945183719712083,0.0020409081924476612,0.1895294206140783,0.004171659702551366,0.0028908126871871917,0.6843803708202711,0.029309914500887574,0.020310734513584013,1.624551428793572,0.03575738114041906,0.024778600948225038,1.5779639175257731,1.6805215174982844
embedding_lookup,stride,8,8,9109.0,0.0,0.0,7109.0,0.0,0.9345,0.0,0.0,0.2195630694917115,0.0,0.0,0.6052631578947368,0.0,0.0,1.881984850148205,0.0,0.0,1.881984850148205,1.881984850148205
