label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
thr_8,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_8,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_8,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_8,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_8,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_8,1,mixed_read_write,nn,7285,0.9705,0.27453671928620454,5285,942,941
thr_8,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_8,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_8,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
thr_8,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_8,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_8,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815
thr_8,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_8,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_8,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_8,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_8,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_8,2,mixed_read_write,nn,8416,0.956,0.2376425855513308,6416,912,912
thr_8,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_8,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_8,3,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
thr_8,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_8,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_8,3,strided_read,nn,10084,0.922,0.19833399444664815,8084,1845,1844
thr_8,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_8,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_8,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_8,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_8,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_8,3,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
thr_8,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_8,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_8,4,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_8,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_8,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_8,4,strided_read,nn,11059,0.9095,0.18084817795460711,9059,1820,1819
thr_8,4,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_8,4,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_8,4,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_8,4,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_8,4,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_8,4,mixed_read_write,nn,6817,0.9765,0.29338418659234267,4817,954,953
thr_16,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_16,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_16,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_16,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_16,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_16,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
thr_16,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_16,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_16,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_16,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_16,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_16,0,mixed_read_write,nn,6466,0.981,0.30931023816888337,4466,963,962
thr_16,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_16,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_16,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_16,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_16,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_16,1,strided_read,nn,9187,0.9335,0.21769892239033417,7187,1868,1867
thr_16,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_16,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_16,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_16,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_16,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_16,1,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
thr_16,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_16,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_16,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
thr_16,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_16,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_16,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815
thr_16,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_16,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_16,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_16,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_16,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_16,2,mixed_read_write,nn,8143,0.9595,0.24560972614515536,6143,919,919
thr_16,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_16,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_16,3,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
thr_16,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_16,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_16,3,strided_read,nn,10084,0.922,0.19833399444664815,8084,1845,1844
thr_16,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_16,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_16,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_16,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_16,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_16,3,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
thr_16,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_16,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_16,4,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_16,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_16,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_16,4,strided_read,nn,11059,0.9095,0.18084817795460711,9059,1820,1819
thr_16,4,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_16,4,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_16,4,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_16,4,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_16,4,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_16,4,mixed_read_write,nn,6817,0.9765,0.29338418659234267,4817,954,953
thr_32,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_32,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_32,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_32,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_32,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_32,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
thr_32,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_32,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_32,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_32,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_32,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_32,0,mixed_read_write,nn,6466,0.981,0.30931023816888337,4466,963,962
thr_32,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_32,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_32,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_32,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_32,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_32,1,strided_read,nn,9187,0.9335,0.21769892239033417,7187,1868,1867
thr_32,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_32,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_32,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_32,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_32,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_32,1,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
thr_32,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_32,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_32,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
thr_32,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_32,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_32,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815
thr_32,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_32,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_32,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_32,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_32,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_32,2,mixed_read_write,nn,8143,0.9595,0.24560972614515536,6143,919,919
thr_32,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_32,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_32,3,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
thr_32,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_32,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_32,3,strided_read,nn,10084,0.922,0.19833399444664815,8084,1845,1844
thr_32,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_32,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_32,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_32,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_32,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_32,3,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
thr_32,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_32,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_32,4,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_32,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_32,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_32,4,strided_read,nn,11059,0.9095,0.18084817795460711,9059,1820,1819
thr_32,4,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
thr_32,4,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
thr_32,4,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
thr_32,4,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
thr_32,4,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
thr_32,4,mixed_read_write,nn,6817,0.9765,0.29338418659234267,4817,954,953
thr_64,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
thr_64,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
thr_64,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
thr_64,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
thr_64,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
thr_64,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
