label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
feat_no_opcode,1,strided_read,nn,9187,0.9335,0.21769892239033417,7187,1868,1867
feat_no_opcode,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,1,mixed_read_write,nn,8182,0.959,0.24443901246638963,6182,918,918
feat_no_opcode,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_no_opcode,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_opcode,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_opcode,2,strided_read,nn,8836,0.938,0.22634676324128564,6836,1877,1876
feat_no_opcode,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,2,mixed_read_write,nn,5959,0.9875,0.33562678301728477,3959,976,975
feat_no_opcode,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,3,sequential_read,nn,4234,0.997,0.4723665564478035,2234,249,244
feat_no_opcode,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_opcode,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_opcode,3,strided_read,nn,23968,0.744,0.08344459279038718,21968,1488,1488
feat_no_opcode,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,3,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
feat_no_opcode,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,4,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_no_opcode,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_opcode,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_opcode,4,strided_read,nn,8407,0.9435,0.23789699060306888,6407,1888,1887
feat_no_opcode,4,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,4,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,4,mixed_read_write,nn,7480,0.968,0.26737967914438504,5480,937,936
feat_no_opcode,4,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,4,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,4,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_pc,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_pc,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_pc,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,251,247
feat_no_pc,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_pc,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_pc,0,strided_read,nn,10201,0.9205,0.19605920988138417,8201,1842,1841
feat_no_pc,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_pc,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_pc,0,mixed_read_write,nn,6505,0.9805,0.3074558032282859,4505,962,961
feat_no_pc,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_pc,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_pc,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_pc,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_pc,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_pc,1,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_no_pc,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_pc,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_pc,1,strided_read,nn,9343,0.9315,0.21406400513753612,7343,1863,1863
feat_no_pc,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_pc,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_pc,1,mixed_read_write,nn,7480,0.968,0.26737967914438504,5480,937,936
feat_no_pc,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_pc,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_pc,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_pc,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_pc,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_pc,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_no_pc,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_pc,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_pc,2,strided_read,nn,7588,0.954,0.2635740643120717,5588,1909,1908
feat_no_pc,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_pc,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_pc,2,mixed_read_write,nn,5959,0.9875,0.33562678301728477,3959,976,975
feat_no_pc,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
