label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
b16_h16,2,strided_read,nn,7627,0.9535,0.2622263012980202,5627,1908,1907
b16_h16,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b16_h16,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b16_h16,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b16_h32_lr1e-3,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b16_h32_lr1e-3,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b16_h32_lr1e-3,0,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
b16_h32_lr1e-3,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b16_h32_lr1e-3,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b16_h32_lr1e-3,0,strided_read,nn,4624,0.992,0.43252595155709345,2624,1985,1984
b16_h32_lr1e-3,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b16_h32_lr1e-3,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b16_h32_lr1e-3,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b16_h32_lr1e-3,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b16_h32_lr1e-3,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b16_h32_lr1e-3,1,sequential_read,nn,4351,0.9955,0.4596644449551827,2351,242,241
b16_h32_lr1e-3,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b16_h32_lr1e-3,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b16_h32_lr1e-3,1,strided_read,nn,7081,0.9605,0.2824459822059031,5081,1922,1921
b16_h32_lr1e-3,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b16_h32_lr1e-3,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b16_h32_lr1e-3,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b16_h32_lr1e-3,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b16_h32_lr1e-3,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b16_h32_lr1e-3,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,248,246
b16_h32_lr1e-3,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b16_h32_lr1e-3,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b16_h32_lr1e-3,2,strided_read,nn,6418,0.969,0.3116235587410408,4418,1939,1938
b16_h32_lr1e-3,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b16_h32_lr1e-3,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b16_h32_lr1e-3,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b32_h32,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b32_h32,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b32_h32,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
