instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_used,prefetch_accuracy,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.0035973007907159626,2,2,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.010400500148534775,2,2,token_stream,stride,13750.0,3.4043079970289676
2000,4195,0.4767580452920143,2.0975,0.9975,246,245,0.9959349593495935,2195,0,0.824643199914135,2,2,token_stream,nn,13750.0,3.2777115613825982
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.004011699114926159,3,3,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.01121519977459684,3,3,kv_cache_append,stride,65908.0,1.965173832667422
1583,46837,0.03379806563187224,29.58749210360076,0.3139608338597599,697,490,0.703012912482066,45254,0,0.8391170007525943,3,3,kv_cache_append,nn,65908.0,1.4071780857014753
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.005136899650096893,3,3,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.006523199670482427,3,3,embedding_lookup,stride,17143.0,1.881984850148205
2000,10396,0.19238168526356292,5.198,0.918,236,174,0.7372881355932204,8396,0,0.8397734995814972,3,3,embedding_lookup,nn,17143.0,1.6489996152366295
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.0043750000186264515,3,3,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.005822599749080837,3,3,agent_rag,stride,17026.0,2.1446025947852374
2000,8680,0.2304147465437788,4.34,0.94,304,218,0.7171052631578947,6680,0,1.0841911991592497,3,3,agent_rag,nn,17026.0,1.961520737327189
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.006103299558162689,3,3,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.008001699694432318,3,3,token_stream,stride,13750.0,3.4043079970289676
2000,4312,0.46382189239332094,2.156,0.996,243,242,0.9958847736625515,2312,0,1.3843807004159316,3,3,token_stream,nn,13750.0,3.188775510204082
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.00836220005294308,4,4,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.009135200001765043,4,4,kv_cache_append,stride,65908.0,1.965173832667422
1583,49606,0.03191146232310608,31.336702463676563,0.26910928616550855,731,419,0.573187414500684,48023,0,0.8107459018356167,4,4,kv_cache_append,nn,65908.0,1.3286296012579124
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.009206800430547446,4,4,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.006681799772195518,4,4,embedding_lookup,stride,17143.0,1.881984850148205
2000,10552,0.18953752843062927,5.276,0.916,253,170,0.6719367588932806,8552,0,1.0625128009123728,4,4,embedding_lookup,nn,17143.0,1.6246209249431387
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.008806400815956295,4,4,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.01002470008097589,4,4,agent_rag,stride,17026.0,2.1446025947852374
2000,8797,0.22735023303398885,4.3985,0.9385,298,215,0.7214765100671141,6797,0,0.9844057025038637,4,4,agent_rag,nn,17026.0,1.9354325338183471
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.005520799837540835,4,4,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.00836089946096763,4,4,token_stream,stride,13750.0,3.4043079970289676
2000,4195,0.4767580452920143,2.0975,0.9975,246,245,0.9959349593495935,2195,0,0.9956148006604053,4,4,token_stream,nn,13750.0,3.2777115613825982
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.00869099999545142,5,5,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.012428700632881373,5,5,kv_cache_append,stride,65908.0,1.965173832667422
1583,48748,0.032473127102650365,30.794693619709413,0.2830069488313329,723,440,0.6085753803596127,47165,0,1.5454293003422208,5,5,kv_cache_append,nn,65908.0,1.3520144416181177
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.006005299626849592,5,5,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.009436799504328519,5,5,embedding_lookup,stride,17143.0,1.881984850148205
2000,10864,0.18409425625920472,5.432,0.912,243,162,0.6666666666666666,8864,0,0.9080349016585387,5,5,embedding_lookup,nn,17143.0,1.5779639175257731
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.004796199325937778,5,5,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.007506200636271387,5,5,agent_rag,stride,17026.0,2.1446025947852374
2000,8758,0.2283626398721169,4.379,0.939,296,216,0.7297297297297297,6758,0,1.0002317987382412,5,5,agent_rag,nn,17026.0,1.9440511532313314
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.0062814002158120275,5,5,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.00823330006096512,5,5,token_stream,stride,13750.0,3.4043079970289676
2000,4273,0.46805523051720105,2.1365,0.9965,244,243,0.9959016393442623,2273,0,0.9475258986931294,5,5,token_stream,nn,13750.0,3.217879709805757
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.008061699743848294,6,6,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.012403199332766235,6,6,kv_cache_append,stride,65908.0,1.965173832667422
1583,51400,0.030797665369649806,32.469993682880606,0.24005053695514844,715,372,0.5202797202797202,49817,0,0.7981031006784178,6,6,kv_cache_append,nn,65908.0,1.2822568093385214
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.0057975996169261634,6,6,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.0089913991978392,6,6,embedding_lookup,stride,17143.0,1.881984850148205
2000,10162,0.19681165124975397,5.081,0.921,261,180,0.6896551724137931,8162,0,0.7737689998466522,6,6,embedding_lookup,nn,17143.0,1.6869710686872663
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.008083600900135934,6,6,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.006537900248076767,6,6,agent_rag,stride,17026.0,2.1446025947852374
2000,8719,0.22938410368161485,4.3595,0.9395,305,217,0.7114754098360656,6719,0,0.7076822003000416,6,6,agent_rag,nn,17026.0,1.9527468746415872
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.005025699734687805,6,6,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.007325399143155664,6,6,token_stream,stride,13750.0,3.4043079970289676
2000,4039,0.49517207229512256,2.0195,0.9995,251,249,0.9920318725099602,2039,0,0.7276218993356451,6,6,token_stream,nn,13750.0,3.4043079970289676
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.006158199685160071,7,7,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.01844669971615076,7,7,kv_cache_append,stride,65908.0,1.965173832667422
1583,50815,0.031152218833021744,32.10044219835755,0.24952621604548325,625,387,0.6192,49232,0,0.5803563997615129,7,7,kv_cache_append,nn,65908.0,1.2970185968710026
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.006471999105997384,7,7,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.005611900589428842,7,7,embedding_lookup,stride,17143.0,1.881984850148205
2000,10162,0.19681165124975397,5.081,0.921,264,179,0.678030303030303,8162,0,0.6986168000730686,7,7,embedding_lookup,nn,17143.0,1.6869710686872663
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.005578999291174114,7,7,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.007725900912191719,7,7,agent_rag,stride,17026.0,2.1446025947852374
2000,8797,0.22735023303398885,4.3985,0.9385,296,215,0.7263513513513513,6797,0,0.8447601989610121,7,7,agent_rag,nn,17026.0,1.9354325338183471
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.008324299880769104,7,7,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.0073378997622057796,7,7,token_stream,stride,13750.0,3.4043079970289676
2000,4234,0.4723665564478035,2.117,0.997,245,244,0.9959183673469387,2234,0,0.7916394998901524,7,7,token_stream,nn,13750.0,3.247520075578649
