workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
agent_rag,baseline,8,8,17026.0,0.0,0.0,15026.0,0.0,0.833,0.0,0.0,0.1174674027957242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
agent_rag,nn,8,8,8723.875,64.04114191004761,44.37824720513418,6723.875,0.0,0.9394374999999999,0.0008210402808980308,0.0005689518872452992,0.2292667790437403,0.0016904325124073752,0.001171409966808238,0.7232893749223446,0.00790026641446477,0.005474605315751402,1.9517480899993611,0.014390651978123978,0.009972213047438528,1.9354325338183471,1.9793071378749127
agent_rag,stride,8,8,7939.0,0.0,0.0,5939.0,0.0,0.9495,0.0,0.0,0.25192089683839275,0.0,0.0,0.7053571428571429,0.0,0.0,2.1446025947852374,0.0,0.0,2.1446025947852374,2.1446025947852374
embedding_lookup,baseline,8,8,17143.0,0.0,0.0,15143.0,0.0,0.8315,0.0,0.0,0.11666569445254622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
embedding_lookup,nn,8,8,10474.0,233.06957882020677,161.50897807861952,8474.0,0.0,0.917,0.0029880715233359923,0.0020706279240848714,0.19103181701093952,0.004253779761314374,0.002947718984601497,0.6846296672101562,0.029101345020184518,0.0201662032373134,1.6374292195092681,0.03646127322410624,0.025266373276511794,1.5779639175257731,1.6869710686872663
embedding_lookup,stride,8,8,9109.0,0.0,0.0,7109.0,0.0,0.9345,0.0,0.0,0.2195630694917115,0.0,0.0,0.6052631578947368,0.0,0.0,1.881984850148205,0.0,0.0,1.881984850148205,1.881984850148205
kv_cache_append,baseline,8,8,65908.0,0.0,0.0,64325.0,0.0,0.00505369551484523,0.0,0.0,0.024018328579231658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
kv_cache_append,nn,8,8,49732.75,1463.966407694228,1014.4769628237005,48149.75,0.0,0.2670562223626026,0.02371295021938591,0.016432236144025468,0.03185490619840849,0.0009622593541966075,0.0006668117123203568,0.602833257485834,0.056429899011476915,0.03910392496763363,1.3262748943301998,0.04006354359847758,0.027762619289709464,1.2822568093385214,1.4071780857014753
kv_cache_append,stride,8,8,33538.0,0.0,0.0,31955.0,0.0,0.5293746051800379,0.0,0.0,0.04720019082831415,0.0,0.0,0.6283987915407855,0.0,0.0,1.965173832667422,0.0,0.0,1.965173832667422,1.965173832667422
token_stream,baseline,8,8,13750.0,0.0,0.0,11750.0,0.0,0.875,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
token_stream,nn,8,8,4219.375,83.22248580075666,57.670240375777865,2219.375,0.0,0.9971875000000001,0.0010669549461635593,0.0007393620560997248,0.4741692036503101,0.009583109788059948,0.00664075627767252,0.9954283222817626,0.0013724809427516512,0.0009510807700356181,3.259913275095882,0.06588387979291209,0.04565519940899854,3.188775510204082,3.4043079970289676
token_stream,stride,8,8,4039.0,0.0,0.0,2039.0,0.0,0.9995,0.0,0.0,0.49517207229512256,0.0,0.0,0.996,0.0,0.0,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
