workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
agent_rag,baseline,6,6,17026.0,0.0,0.0,15026.0,0.0,0.8330000000000001,1.2161883888976234e-16,9.73153388072931e-17,0.1174674027957242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
agent_rag,berti,6,6,7978.0,0.0,0.0,5978.0,0.0,0.949,0.0,0.0,0.25068939583855604,0.0,0.0,0.7002967359050444,1.2161883888976234e-16,9.73153388072931e-17,2.134118826773627,4.864753555590494e-16,3.892613552291724e-16,2.1341188267736273,2.1341188267736273
agent_rag,nextline,6,6,7939.0,0.0,0.0,5939.0,0.0,0.9495000000000001,1.2161883888976234e-16,9.73153388072931e-17,0.25192089683839275,0.0,0.0,0.7053571428571429,0.0,0.0,2.1446025947852374,0.0,0.0,2.1446025947852374,2.1446025947852374
agent_rag,nn,6,6,8712.5,67.17365555037183,53.750118883589465,6712.5,0.0,0.9395833333333333,0.0008612007121842388,0.0006891040882511345,0.22956664927238646,0.0017763157349250192,0.001421348609730111,0.7247480396985567,0.007418730048314967,0.005936220364889455,1.9543008852558257,0.015121775851416677,0.012099940714632428,1.9354325338183471,1.9793071378749127
agent_rag,stride,6,6,7939.0,0.0,0.0,5939.0,0.0,0.9495000000000001,1.2161883888976234e-16,9.73153388072931e-17,0.25192089683839275,0.0,0.0,0.7053571428571429,0.0,0.0,2.1446025947852374,0.0,0.0,2.1446025947852374,2.1446025947852374
embedding_lookup,baseline,6,6,17143.0,0.0,0.0,15143.0,0.0,0.8315,0.0,0.0,0.11666569445254622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
embedding_lookup,berti,6,6,9031.0,0.0,0.0,7031.0,0.0,0.9355000000000001,1.2161883888976234e-16,9.73153388072931e-17,0.2214594175617318,3.0404709722440586e-17,2.4328834701823276e-17,0.6129032258064516,0.0,0.0,1.8982393976303842,0.0,0.0,1.8982393976303842,1.8982393976303842
embedding_lookup,nextline,6,6,8524.0,0.0,0.0,6524.0,0.0,0.9420000000000001,1.2161883888976234e-16,9.73153388072931e-17,0.23463162834350068,3.0404709722440586e-17,2.4328834701823276e-17,0.6666666666666666,0.0,0.0,2.0111450023463164,0.0,0.0,2.0111450023463164,2.0111450023463164
embedding_lookup,nn,6,6,10578.0,155.34864016141242,124.30480087269358,8578.0,0.0,0.9156666666666667,0.001991649232838619,0.0015936512932396597,0.18910520559800134,0.0027414791237304337,0.002193640164586425,0.6848919770395255,0.03423155802786988,0.027390951087793117,1.6209152697832685,0.023498588309055452,0.01880278667075257,1.5779639175257731,1.6489996152366295
embedding_lookup,stride,6,6,9109.0,0.0,0.0,7109.0,0.0,0.9345,0.0,0.0,0.21956306949171148,3.0404709722440586e-17,2.4328834701823276e-17,0.6052631578947368,0.0,0.0,1.881984850148205,0.0,0.0,1.881984850148205,1.881984850148205
kv_cache_append,baseline,6,6,65908.0,0.0,0.0,64325.0,0.0,0.00505369551484523,0.0,0.0,0.024018328579231658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
kv_cache_append,berti,6,6,23866.0,0.0,0.0,22283.0,0.0,0.6860391661402402,1.2161883888976234e-16,9.73153388072931e-17,0.06632866839855862,0.0,0.0,0.6887755102040817,0.0,0.0,2.761585519148579,4.864753555590494e-16,3.892613552291724e-16,2.7615855191485794,2.7615855191485794
kv_cache_append,nextline,6,6,65908.0,0.0,0.0,64325.0,0.0,0.00505369551484523,0.0,0.0,0.024018328579231658,0.0,0.0,0.0025396825396825397,0.0,0.0,1.0,0.0,0.0,1.0,1.0
