workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,prefetch_coverage_mean,prefetch_coverage_std,prefetch_coverage_ci95,prefetch_timeliness_mean,prefetch_timeliness_std,prefetch_timeliness_ci95,prefetch_pollution_rate_mean,prefetch_pollution_rate_std,prefetch_pollution_rate_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
mixed_read_write,baseline,30,30,43984.0,0.0,0.0,41984.0,0.0,0.5,0.0,0.0,0.04547108039287015,1.4115032135209254e-17,5.050999380238087e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
mixed_read_write,nn,30,30,43867.0,0.0,0.0,41867.0,0.0,0.5015,0.0,0.0,0.0455923587206784,1.4115032135209254e-17,5.050999380238087e-18,1.0,0.0,0.0,0.003000000000000001,8.821895084505784e-19,3.1568746126488043e-19,1.0,0.0,0.0,0.0,0.0,0.0,1.00266715298516,4.516810283266961e-16,1.6163198016761878e-16,1.0026671529851596,1.0026671529851596
mixed_read_write,stride,30,30,5062.0,0.0,0.0,3062.0,0.0,0.9989999999999998,2.2584051416334807e-16,8.081599008380939e-17,0.39510075069142636,5.646012854083702e-17,2.0203997520952348e-17,0.9989989989989991,1.1292025708167404e-16,4.0407995041904695e-17,0.9980000000000001,1.1292025708167404e-16,4.0407995041904695e-17,1.0,0.0,0.0,0.0,0.0,0.0,8.689055709205851,3.613448226613569e-15,1.2930558413409503e-15,8.689055709205848,8.689055709205848
phased_switch,baseline,30,30,43629.2,190.7121680294227,68.24547286134785,41629.2,0.0,0.4919333333333334,0.0024450277952490114,0.0008749419597608707,0.04584170439843584,0.00020010243743735898,7.160573761352239e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
phased_switch,nn,30,30,39565.4,201.72473563129842,72.18626956652514,37565.4,0.0,0.5440333333333333,0.002586214559375618,0.0009254649944426291,0.05055048657923376,0.00025755116217614655,9.216349974055724e-05,0.6399066007135378,0.023538124206750957,0.00842300957173865,0.10848041237218177,0.0037000660956513385,0.001324051647700893,1.0,0.0,0.0,0.0030166666666666675,0.0015618475649345404,0.0005588999732301195,1.1027266951498262,0.0052486651498832035,0.0018782107022630795,1.0927223584764003,1.1139105478373506
phased_switch,stride,30,30,39906.0,161.07269723048486,57.63912445193982,37906.0,0.0,0.5396666666666666,0.0020650345798780036,0.0007389631339992257,0.050118564188872776,0.00020181188148453175,7.221745430960298e-05,0.14801846438705013,0.003028130807600741,0.0010836026929275178,0.1498138390877693,0.0029674665337230417,0.0010618942613190262,1.0,0.0,0.0,0.02838333333333333,0.002528060907894228,0.0009046549775204303,1.093318704709326,0.006885381577471989,0.0024639021539144493,1.079413955798361,1.1051530805090084
random_read,baseline,30,30,73951.7,86.5930434412245,30.98692263431184,71951.7,0.0,0.10318333333333332,0.0011101672236054397,0.00039726823890143297,0.027044714971112386,3.163586189875933e-05,1.132074778953822e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,nn,30,30,73930.9,97.88922310448686,35.02920861224245,71930.9,0.0,0.10344999999999999,0.0012549900398011106,0.0004490924181056714,0.02705233380889277,3.577860407627796e-05,1.2803209038700835e-05,0.09007936507936506,0.12009731525514303,0.042976272325220076,0.00035318439055931756,0.000473981618697662,0.0001696121439436343,0.43333333333333335,0.5040069329937308,0.18035656467524525,5e-05,0.00015256428831468232,5.459442942405324e-05,1.0002816371894336,0.0004747712316145239,0.00016989470329705929,0.9994738404252449,1.0015826423363587
random_read,stride,30,30,75624.8,70.01546627168443,25.054712830812544,73624.8,0.0,0.08173333333333331,0.0008976341829703138,0.00032121426706169953,0.026446372836134498,2.4474282909610316e-05,8.75800966119307e-06,0.03937594084152441,0.0009255714633992741,0.00033121149447007506,0.040921905725963326,0.0009495269478902713,0.0003397838545014422,1.0,0.0,0.0,0.05815000000000001,0.0009751215662498258,0.0003489427710546012,0.9778773993915936,0.001644478674609716,0.0005884691360743604,0.9752776640562063,0.9809137082694037
sequential_read,baseline,30,30,13750.0,0.0,0.0,11750.0,0.0,0.875,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
