run,seed,workload,config,cycles,speedup
7,7,random_read,nn,73888,1.0008621156344737
7,7,phased_switch,baseline,43429,1.004609822929379
7,7,phased_switch,stride,39763,1.0972310942333323
7,7,phased_switch,nn,39217,1.1125073310044113
8,8,sequential_read,baseline,13750,1.0
8,8,sequential_read,stride,4039,3.4043079970289676
8,8,sequential_read,nn,4156,3.3084696823869106
8,8,strided_read,baseline,82000,1.0
8,8,strided_read,stride,4117,19.91741559387904
8,8,strided_read,nn,7237,11.33066187646815
8,8,mixed_read_write,baseline,43984,1.0
8,8,mixed_read_write,stride,5062,8.689055709205848
8,8,mixed_read_write,nn,43867,1.0026671529851596
8,8,random_read,baseline,74083,0.9982276635665402
8,8,random_read,stride,75643,0.9776410242851288
8,8,random_read,nn,74083,0.9982276635665402
8,8,phased_switch,baseline,43975,0.9921364411597497
8,8,phased_switch,stride,39802,1.0961559720617053
8,8,phased_switch,nn,39802,1.0961559720617053
9,9,sequential_read,baseline,13750,1.0
9,9,sequential_read,stride,4039,3.4043079970289676
9,9,sequential_read,nn,4117,3.3398105416565462
9,9,strided_read,baseline,82000,1.0
9,9,strided_read,stride,4117,19.91741559387904
9,9,strided_read,nn,8563,9.576083148429289
9,9,mixed_read_write,baseline,43984,1.0
9,9,mixed_read_write,stride,5062,8.689055709205848
9,9,mixed_read_write,nn,43867,1.0026671529851596
9,9,random_read,baseline,73888,1.0008621156344737
9,9,random_read,stride,75760,0.9761312038014783
9,9,random_read,nn,73888,1.0008621156344737
9,9,phased_switch,baseline,43468,1.0037084752001473
9,9,phased_switch,stride,40270,1.083416935684132
9,9,phased_switch,nn,39490,1.1048164092175234
10,10,sequential_read,baseline,13750,1.0
10,10,sequential_read,stride,4039,3.4043079970289676
10,10,sequential_read,nn,4273,3.217879709805757
10,10,strided_read,baseline,82000,1.0
10,10,strided_read,stride,4117,19.91741559387904
10,10,strided_read,nn,10162,8.069277701239914
10,10,mixed_read_write,baseline,43984,1.0
10,10,mixed_read_write,stride,5062,8.689055709205848
10,10,mixed_read_write,nn,43867,1.0026671529851596
10,10,random_read,baseline,73927,1.0003341133821202
10,10,random_read,stride,75682,0.9771372321027456
10,10,random_read,nn,73888,1.0008621156344737
10,10,phased_switch,baseline,43390,1.0055127909656603
10,10,phased_switch,stride,39841,1.0950829547451117
10,10,phased_switch,nn,39334,1.109198149183912
11,11,sequential_read,baseline,13750,1.0
11,11,sequential_read,stride,4039,3.4043079970289676
11,11,sequential_read,nn,4117,3.3398105416565462
11,11,strided_read,baseline,82000,1.0
11,11,strided_read,stride,4117,19.91741559387904
11,11,strided_read,nn,9109,9.00208584916017
11,11,mixed_read_write,baseline,43984,1.0
11,11,mixed_read_write,stride,5062,8.689055709205848
11,11,mixed_read_write,nn,43867,1.0026671529851596
11,11,random_read,baseline,73927,1.0003341133821202
11,11,random_read,stride,75604,0.9781453362255965
11,11,random_read,nn,73927,1.0003341133821202
11,11,phased_switch,baseline,43624,1.0001192004401247
11,11,phased_switch,stride,39997,1.0908118108858165
11,11,phased_switch,nn,39568,1.1026384957541446
12,12,sequential_read,baseline,13750,1.0
12,12,sequential_read,stride,4039,3.4043079970289676
12,12,sequential_read,nn,4156,3.3084696823869106
12,12,strided_read,baseline,82000,1.0
12,12,strided_read,stride,4117,19.91741559387904
12,12,strided_read,nn,8875,9.23943661971831
12,12,mixed_read_write,baseline,43984,1.0
12,12,mixed_read_write,stride,5062,8.689055709205848
12,12,mixed_read_write,nn,43867,1.0026671529851596
12,12,random_read,baseline,73849,1.0013906755677124
12,12,random_read,stride,75721,0.976633958875345
12,12,random_read,nn,73849,1.0013906755677124
12,12,phased_switch,baseline,43546,1.001910623248978
12,12,phased_switch,stride,40036,1.0897492256968728
12,12,phased_switch,nn,39529,1.1037263781021527
13,13,sequential_read,baseline,13750,1.0
13,13,sequential_read,stride,4039,3.4043079970289676
13,13,sequential_read,nn,4156,3.3084696823869106
13,13,strided_read,baseline,82000,1.0
13,13,strided_read,stride,4117,19.91741559387904
13,13,strided_read,nn,10552,7.7710386656558
13,13,mixed_read_write,baseline,43984,1.0
13,13,mixed_read_write,stride,5062,8.689055709205848
13,13,mixed_read_write,nn,43867,1.0026671529851596
13,13,random_read,baseline,73888,1.0008621156344737
13,13,random_read,stride,75760,0.9761312038014783
13,13,random_read,nn,73849,1.0013906755677124
13,13,phased_switch,baseline,43546,1.001910623248978
13,13,phased_switch,stride,40270,1.083416935684132
13,13,phased_switch,nn,39568,1.1026384957541446
14,14,sequential_read,baseline,13750,1.0
14,14,sequential_read,stride,4039,3.4043079970289676
14,14,sequential_read,nn,4234,3.247520075578649
14,14,strided_read,baseline,82000,1.0
14,14,strided_read,stride,4117,19.91741559387904
14,14,strided_read,nn,7705,10.64243997404283
14,14,mixed_read_write,baseline,43984,1.0
14,14,mixed_read_write,stride,5062,8.689055709205848
14,14,mixed_read_write,nn,43867,1.0026671529851596
14,14,random_read,baseline,73888,1.0008621156344737
14,14,random_read,stride,75760,0.9761312038014783
14,14,random_read,nn,73888,1.0008621156344737
14,14,phased_switch,baseline,43507,1.002808743420599
14,14,phased_switch,stride,40075,1.0886887086712413
14,14,phased_switch,nn,39568,1.1026384957541446
15,15,sequential_read,baseline,13750,1.0
15,15,sequential_read,stride,4039,3.4043079970289676
15,15,sequential_read,nn,4117,3.3398105416565462
15,15,strided_read,baseline,82000,1.0
15,15,strided_read,stride,4117,19.91741559387904
15,15,strided_read,nn,6925,11.84115523465704
15,15,mixed_read_write,baseline,43984,1.0
15,15,mixed_read_write,stride,5062,8.689055709205848
15,15,mixed_read_write,nn,43867,1.0026671529851596
15,15,random_read,baseline,73888,1.0008621156344737
15,15,random_read,stride,75682,0.9771372321027456
15,15,random_read,nn,73810,1.0019197940658446
15,15,phased_switch,baseline,43390,1.0055127909656603
15,15,phased_switch,stride,39763,1.0972310942333323
15,15,phased_switch,nn,39646,1.100469151995157
16,16,sequential_read,baseline,13750,1.0
16,16,sequential_read,stride,4039,3.4043079970289676
16,16,sequential_read,nn,4078,3.3717508582638547
16,16,strided_read,baseline,82000,1.0
16,16,strided_read,stride,4117,19.91741559387904
16,16,strided_read,nn,9850,8.3248730964467
16,16,mixed_read_write,baseline,43984,1.0
16,16,mixed_read_write,stride,5062,8.689055709205848
