instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_requested,prefetch_redundant,prefetch_used,prefetch_accuracy,prefetch_coverage,prefetch_timeliness,prefetch_late,prefetch_dropped,prefetch_useful_hits,prefetch_pollution_misses,prefetch_pollution_rate,demand_only_hits,demand_only_misses,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
2000,75604,0.026453626792233214,37.802,0.082,1867,2000,133,75,0.04017139796464917,0.04180602006688963,1.0,0,0,75,117,0.0585,206,1794,73604,0,0.00505624373909086,1,1,random_read,stride,73966,0.978334479657161
2000,73927,0.02705371515143317,36.9635,0.1035,7,8,1,1,0.14285714285714285,0.0005574136008918618,1.0,0,0,1,0,0.0,206,1794,71927,0,0.10777302412316203,1,1,random_read,nn,73966,1.000527547445453
2000,43546,0.04592844348505029,21.773,0.493,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,986,1014,41546,0,0.003197802201611921,1,1,phased_switch,baseline,43546,1.0
2000,39841,0.05019954318415702,19.9205,0.5405,1064,2000,936,159,0.14943609022556392,0.15187376725838264,1.0,0,0,154,59,0.0295,986,1014,37841,0,0.004078714002389461,1,1,phased_switch,stride,43546,1.0929946537486508
2000,39529,0.050595765134458244,19.7645,0.5445,171,993,822,111,0.6491228070175439,0.10848126232741617,1.0,0,0,110,7,0.0035,986,1014,37529,0,0.11150548956356943,1,1,phased_switch,nn,43546,1.1016215942725593
2000,13750,0.14545454545454545,6.875,0.875,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1750,250,11750,0,0.0025621218373999,2,2,sequential_read,baseline,13750,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,2000,1750,249,0.996,0.996,1.0,0,0,249,0,0.0,1750,250,2039,0,0.00310863449703902,2,2,sequential_read,stride,13750,3.4043079970289676
2000,4195,0.4767580452920143,2.0975,0.9975,246,1981,1735,245,0.9959349593495935,0.98,1.0,0,0,245,0,0.0,1750,250,2195,0,0.11447688212501816,2,2,sequential_read,nn,13750,3.2777115613825982
2000,82000,0.024390243902439025,41.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,2000,80000,0,0.003972765523940325,2,2,strided_read,baseline,82000,1.0
2000,4117,0.48579062424095215,2.0585,0.9985,1998,2000,2,1997,0.9994994994994995,0.9985,1.0,0,0,1997,0,0.0,0,2000,2117,0,0.004031011718325317,2,2,strided_read,stride,82000,19.91741559387904
