run,seed,workload,config,cycles,speedup
9,9,strided_read,nn,18101,9.060272913098723
9,9,mixed_read_write,baseline,87984,1.0
9,9,mixed_read_write,stride,10062,8.744186046511627
9,9,mixed_read_write,nn,16263,5.410071942446043
9,9,random_read,baseline,147932,1.0
9,9,random_read,stride,151130,0.9788394097796599
9,9,random_read,nn,147932,1.0
9,9,arithmetic_mix,baseline,19997,1.0
9,9,arithmetic_mix,stride,19997,1.0
9,9,arithmetic_mix,nn,19997,1.0
