label,seed,workload,config,cycles,hit_rate
median_cap64,1,agent_rag,baseline,17026,0.833
median_cap64,1,agent_rag,stride,7939,0.9495
median_cap64,1,agent_rag,nn,9109,0.9345
median_cap64,1,token_stream,baseline,13750,0.875
median_cap64,1,token_stream,stride,4039,0.9995
median_cap64,1,token_stream,nn,4312,0.996
median_cap64,2,kv_cache_append,baseline,65908,0.00505369551484523
median_cap64,2,kv_cache_append,stride,33538,0.5293746051800379
median_cap64,2,kv_cache_append,nn,64777,0.02337334175615919
median_cap64,2,embedding_lookup,baseline,17143,0.8315
median_cap64,2,embedding_lookup,stride,9109,0.9345
median_cap64,2,embedding_lookup,nn,11371,0.9055
median_cap64,2,agent_rag,baseline,17026,0.833
median_cap64,2,agent_rag,stride,7939,0.9495
median_cap64,2,agent_rag,nn,8992,0.936
median_cap64,2,token_stream,baseline,13750,0.875
median_cap64,2,token_stream,stride,4039,0.9995
median_cap64,2,token_stream,nn,4234,0.997
median_cap64,3,kv_cache_append,baseline,65908,0.00505369551484523
median_cap64,3,kv_cache_append,stride,33538,0.5293746051800379
median_cap64,3,kv_cache_append,nn,64153,0.033480732785849655
median_cap64,3,embedding_lookup,baseline,17143,0.8315
median_cap64,3,embedding_lookup,stride,9109,0.9345
median_cap64,3,embedding_lookup,nn,11332,0.906
median_cap64,3,agent_rag,baseline,17026,0.833
median_cap64,3,agent_rag,stride,7939,0.9495
median_cap64,3,agent_rag,nn,8875,0.9375
median_cap64,3,token_stream,baseline,13750,0.875
median_cap64,3,token_stream,stride,4039,0.9995
median_cap64,3,token_stream,nn,4273,0.9965
median_cap64,4,kv_cache_append,baseline,65908,0.00505369551484523
median_cap64,4,kv_cache_append,stride,33538,0.5293746051800379
median_cap64,4,kv_cache_append,nn,64816,0.022741629816803537
median_cap64,4,embedding_lookup,baseline,17143,0.8315
median_cap64,4,embedding_lookup,stride,9109,0.9345
median_cap64,4,embedding_lookup,nn,11215,0.9075
median_cap64,4,agent_rag,baseline,17026,0.833
median_cap64,4,agent_rag,stride,7939,0.9495
median_cap64,4,agent_rag,nn,8992,0.936
median_cap64,4,token_stream,baseline,13750,0.875
median_cap64,4,token_stream,stride,4039,0.9995
median_cap64,4,token_stream,nn,4234,0.997
median_cap64,5,kv_cache_append,baseline,65908,0.00505369551484523
median_cap64,5,kv_cache_append,stride,33538,0.5293746051800379
median_cap64,5,kv_cache_append,nn,64660,0.025268477574226154
median_cap64,5,embedding_lookup,baseline,17143,0.8315
median_cap64,5,embedding_lookup,stride,9109,0.9345
median_cap64,5,embedding_lookup,nn,11410,0.905
median_cap64,5,agent_rag,baseline,17026,0.833
median_cap64,5,agent_rag,stride,7939,0.9495
median_cap64,5,agent_rag,nn,9031,0.9355
median_cap64,5,token_stream,baseline,13750,0.875
median_cap64,5,token_stream,stride,4039,0.9995
median_cap64,5,token_stream,nn,4312,0.996
median_cap64,6,kv_cache_append,baseline,65908,0.00505369551484523
median_cap64,6,kv_cache_append,stride,33538,0.5293746051800379
median_cap64,6,kv_cache_append,nn,64426,0.029058749210360075
median_cap64,6,embedding_lookup,baseline,17143,0.8315
median_cap64,6,embedding_lookup,stride,9109,0.9345
median_cap64,6,embedding_lookup,nn,11176,0.908
median_cap64,6,agent_rag,baseline,17026,0.833
median_cap64,6,agent_rag,stride,7939,0.9495
median_cap64,6,agent_rag,nn,8680,0.94
median_cap64,6,token_stream,baseline,13750,0.875
median_cap64,6,token_stream,stride,4039,0.9995
median_cap64,6,token_stream,nn,4039,0.9995
