trace,candidate,control,candidate_ipc,control_ipc,ipc_speedup,candidate_cycles,control_cycles,candidate_prefetch_requested,control_prefetch_requested,prefetch_request_reduction,candidate_prefetch_issued,control_prefetch_issued,prefetch_issue_reduction,candidate_dram_read_requests,control_dram_read_requests,dram_read_request_reduction,candidate_l2c_prefetch_misses,control_l2c_prefetch_misses,candidate_llc_prefetch_misses,control_llc_prefetch_misses,useful_prefetch_delta
620.omnetpp_s-874B.champsimtrace.xz,raw_stride,no_l1d_prefetch,0.41235618534385227,0.4107151507463923,1.0039955540828667,485017587,486955501,1529898,0,,1149390,0,,1991259,1983886,-0.003716443384347734,21740,0,20686,0,16352
621.wrf_s-575B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.0797958142838455,1.0797995511953562,0.9999965392544324,185220204,185219563,25532,0,,4804,0,,5921,5523,-0.07206228499004164,764,0,764,0,366
623.xalancbmk_s-700B.champsimtrace.xz,raw_stride,no_l1d_prefetch,0.824257792853526,0.8215087467206038,1.0033463382391192,242642537,243454501,4006031,0,,656845,0,,250502,245895,-0.018735639195591514,26672,0,10342,0,37469
625.x264_s-18B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.4568401320115665,1.451080212389964,1.0039694012587463,137283425,137828358,11722728,0,,340775,0,,112299,112203,-0.0008555920964679053,3948,0,3804,0,4044
627.cam4_s-573B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.0994000079486619,1.0986571416023194,1.000676158483127,181917410,182040415,2127762,0,,675023,0,,1032707,1029959,-0.002668067369671956,8899,0,5942,0,11372
628.pop2_s-17B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.1065955116907,1.100774610131918,1.0052880049241728,180734514,181690239,3192643,0,,306584,0,,671113,669978,-0.00169408547743366,17391,0,12217,0,15650
631.deepsjeng_s-928B.champsimtrace.xz,raw_stride,no_l1d_prefetch,0.951890076496028,0.9523978826137995,0.9994668130546679,210108295,209996268,1025511,0,,577697,0,,88796,88630,-0.0018729549813831792,896,0,260,0,1045
638.imagick_s-10316B.champsimtrace.xz,raw_stride,no_l1d_prefetch,2.703370764069764,2.703370764069764,1.0,73981713,73981713,6,0,,6,0,,7827,7827,0.0,3,0,3,0,0
641.leela_s-800B.champsimtrace.xz,raw_stride,no_l1d_prefetch,0.9819626570012214,0.9815748776944212,1.0003950583043761,203673734,203754197,4372972,0,,2411840,0,,63487,62894,-0.009428562342989721,4341,0,3381,0,17409
644.nab_s-5853B.champsimtrace.xz,raw_stride,no_l1d_prefetch,0.8456559714047184,0.8459749520606087,0.9996229431437499,236502794,236413619,140828,0,,136724,0,,39039,38949,-0.0023107140106293222,1203,0,834,0,18714
648.exchange2_s-1699B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.179692660924957,1.180703492536853,0.9991438734463941,169535683,169390539,66974424,0,,1641562,0,,8,5,-0.6000000000000001,3,0,3,0,0
649.fotonik3d_s-1176B.champsimtrace.xz,raw_stride,no_l1d_prefetch,0.3612248903279703,0.3612113521778283,1.0000374798578737,553671708,553692454,296,0,,7,0,,1777716,1777716,0.0,4,0,4,0,4
654.roms_s-842B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.6125381760348576,1.6125381760348576,1.0,124028072,124028072,30957,0,,30957,0,,28640,28638,-6.983727913967286e-05,2,0,2,0,0
657.xz_s-3167B.champsimtrace.xz,raw_stride,no_l1d_prefetch,1.1945096217002977,1.1950010251316243,0.9995887840922375,167432725,167363874,1936405,0,,705237,0,,210232,208904,-0.006356986941370213,7081,0,1614,0,11801
600.perlbench_s-210B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.1077497368471265,1.10751033045489,1.0002161662836484,180546195,180585223,37882,0,,7099,0,,10335,10026,-0.030819868342309986,684,0,681,0,372
